# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  34 0.335 21.92 926.668
  35 0.345 21.906 922.786
  36 0.355 21.728 926.73
  37 0.365 20.976 934.694
  38 0.375 19.796 962.116
  39 0.385 19.332 1004.39
  40 0.395 20.686 1036.82
  41 0.405 21.65 1069.19
  42 0.415 21.816 1037.07
  43 0.425 21.988 1028.84
  44 0.435 21.742 1036.08
  45 0.445 21.714 998.748
  46 0.455 21.416 1028.1
  47 0.465 21.452 1006.02
  48 0.475 21.316 999.332
  49 0.485 20.212 1042.07
  50 0.495 19.396 1039.97
  51 0.505 19.132 1069.43
  52 0.515 20.32 1088.15
  53 0.525 21.096 1048.1
  54 0.535 21.432 1015.05
  55 0.545 21.556 1041.63
  56 0.555 21.656 1104.84
  57 0.565 21.814 1114.35
  58 0.575 21.9 1100.95
  59 0.585 21.884 1062.97
  60 0.595 21.424 1057.3
  61 0.605 20.678 1029.07
  62 0.615 19.466 999.173
  63 0.625 19.9 1008.13
  64 0.635 21.002 974.169
  65 0.645 21.676 917.223
  66 0.655 21.878 941.605
  67 0.665 21.856 984.275
  68 0.675 21.806 1019.88
  69 0.685 21.574 991.868
  70 0.695 21.65 914.113
  71 0.705 21.344 937.945
  72 0.715 21.366 937.063
  73 0.725 20.508 869.71
  74 0.735 19.434 883.049
  75 0.745 19.244 814.019
  76 0.755 20.088 823.545
  77 0.765 21.114 824.516
  78 0.775 21.394 832.176
  79 0.785 21.504 865.306
  80 0.795 21.57 847.136
  81 0.805 21.81 830.18
  82 0.815 21.792 882.209
  83 0.825 21.976 861.115
  84 0.835 21.918 832.642
  85 0.845 21.636 807.404
  86 0.855 20.924 811.544
  87 0.865 19.428 831.417
  88 0.875 19.502 844.42
  89 0.885 20.86 828.385
  90 0.895 21.85 835.618
  91 0.905 21.842 860.165
  92 0.915 21.968 815.646
  93 0.925 21.846 880.283
  94 0.935 21.776 851.11
  95 0.945 21.588 814.589
  96 0.955 21.49 817.82
  97 0.965 21.418 796.429
  98 0.975 21.34 785.233
  99 0.985 20.36 787.152
  100 0.995 19.24 853.391
70000 100 2112
  1 0.005 19.182 777.076
  2 0.015 20.296 746.438
  3 0.025 21.23 761.623
  4 0.035 21.514 801.409
  5 0.045 21.514 789.114
  6 0.055 21.518 793.939
  7 0.065 21.746 793.742
  8 0.075 21.888 784.248
  9 0.085 21.904 822.64
  10 0.095 21.948 822.696
  11 0.105 21.842 818.547
  12 0.115 20.944 842.553
  13 0.125 19.776 862.518
  14 0.135 19.748 879.458
  15 0.145 20.48 901.89
  16 0.155 21.398 896.238
  17 0.165 21.822 847.096
  18 0.175 21.966 848.732
  19 0.185 21.844 949.495
  20 0.195 21.708 915.485
  21 0.205 21.694 872.622
  22 0.215 21.484 943.152
  23 0.225 21.39 944.191
  24 0.235 20.838 946.223
  25 0.245 20.182 898.036
  26 0.255 19.38 894.387
  27 0.265 19.62 946.165
  28 0.275 20.37 928.849
  29 0.285 21.206 942.717
  30 0.295 21.526 903.507
  31 0.305 21.378 955.351
  32 0.315 21.716 924.676
  33 0.325 21.876 901.43
  34 0.335 21.882 898.004
  35 0.345 21.944 927.776
  36 0.355 21.772 950.235
  37 0.365 21.002 942.525
  38 0.375 19.932 993.466
  39 0.385 19.618 998.326
  40 0.395 20.46 984.877
  41 0.405 21.328 1001.49
  42 0.415 21.89 999.752
  43 0.425 21.86 1063.75
  44 0.435 21.83 1053.5
  45 0.445 21.61 1009.09
  46 0.455 21.702 1011.07
  47 0.465 21.436 1012.43
  48 0.475 21.136 1077.82
  49 0.485 20.28 1074.79
  50 0.495 19.292 1124.18
  51 0.505 19.17 1129.65
  52 0.515 20.204 1111.62
  53 0.525 21.172 1049.93
  54 0.535 21.566 1044.87
  55 0.545 21.398 1098.34
  56 0.555 21.61 1072.28
  57 0.565 21.848 1073.05
  58 0.575 21.888 1057.74
  59 0.585 21.854 1022.33
  60 0.595 21.48 1006.39
  61 0.605 20.43 1032.14
  62 0.615 19.54 990.51
  63 0.625 19.966 983.994
  64 0.635 21.1 944.383
  65 0.645 21.716 943.468
  66 0.655 21.892 1005.39
  67 0.665 21.822 952.601
  68 0.675 21.874 896.93
  69 0.685 21.598 876.863
  70 0.695 21.424 923.621
  71 0.705 21.48 928.906
  72 0.715 21.154 851.896
  73 0.725 20.364 864.76
  74 0.735 19.492 879.524
  75 0.745 19.284 918.32
  76 0.755 20.212 868.05
  77 0.765 21.214 886.846
  78 0.775 21.402 880.954
  79 0.785 21.57 862.24
  80 0.795 21.634 861.756
  81 0.805 21.744 891.153
  82 0.815 21.86 837.197
  83 0.825 21.91 851.111
  84 0.835 21.918 855.609
  85 0.845 21.514 845.149
  86 0.855 20.92 816.535
  87 0.865 19.402 835.077
  88 0.875 19.902 840.271
  89 0.885 20.796 855.63
  90 0.895 21.594 835.635
  91 0.905 21.946 792.442
  92 0.915 21.938 810.169
  93 0.925 21.846 870.412
  94 0.935 21.73 845.303
  95 0.945 21.636 814.589
  96 0.955 21.396 832.656
  97 0.965 21.506 850.936
  98 0.975 21.252 758.713
  99 0.985 20.484 729.313
  100 0.995 19.446 748.598
75000 100 2112
  1 0.005 19.252 789.36
  2 0.015 20.262 807.658
  3 0.025 20.97 841.957
  4 0.035 21.498 860.964
  5 0.045 21.542 830.332
  6 0.055 21.552 790.921
  7 0.065 21.7 770.018
  8 0.075 21.888 769.23
  9 0.085 21.928 816.012
  10 0.095 21.948 843.918
  11 0.105 21.8 842.329
  12 0.115 21.044 848.38
  13 0.125 20.07 850.611
  14 0.135 19.652 903.578
  15 0.145 20.412 961.332
  16 0.155 21.384 949.003
  17 0.165 21.752 958.879
  18 0.175 21.826 934.406
  19 0.185 21.886 900.787
  20 0.195 21.752 870.103
  21 0.205 21.516 867.645
  22 0.215 21.578 884.356
  23 0.225 21.398 899.704
  24 0.235 20.806 915.702
  25 0.245 20.226 898.838
  26 0.255 19.632 909.799
  27 0.265 19.584 897.175
  28 0.275 20.242 918.29
  29 0.285 21.208 902.964
  30 0.295 21.42 913.795
  31 0.305 21.666 859.217
  32 0.315 21.498 893.34
  33 0.325 21.856 907.772
  34 0.335 21.812 886.623
  35 0.345 21.986 935.991
  36 0.355 21.706 956.009
  37 0.365 21.048 1014.42
  38 0.375 19.894 956.082
  39 0.385 19.716 948.352
  40 0.395 20.348 998.427
  41 0.405 21.452 1014.24
  42 0.415 21.856 1002.66
  43 0.425 21.902 995.158
  44 0.435 21.77 1079.02
  45 0.445 21.646 1113.34
  46 0.455 21.514 1113.84
  47 0.465 21.464 1110.59
  48 0.475 21.05 1062.81
  49 0.485 20.308 1067.48
  50 0.495 19.196 1073.53
  51 0.505 19.288 1068.79
  52 0.515 20.308 1091.59
  53 0.525 21.172 1084.11
  54 0.535 21.438 1071.22
  55 0.545 21.554 1096.73
  56 0.555 21.68 1062.35
  57 0.565 21.796 1079.3
  58 0.575 21.94 1015.99
  59 0.585 21.798 1034.91
  60 0.595 21.22 1022.21
  61 0.605 20.35 1009.58
  62 0.615 19.454 990.551
  63 0.625 20.276 929.094
  64 0.635 21.252 961.138
  65 0.645 21.618 964.619
  66 0.655 21.936 914.141
  67 0.665 21.87 964.01
  68 0.675 21.66 1024.97
  69 0.685 21.626 935.651
  70 0.695 21.628 888.513
  71 0.705 21.402 886.062
  72 0.715 20.944 868.787
  73 0.725 20.164 843.429
  74 0.735 19.498 827.741
  75 0.745 19.792 859.637
  76 0.755 20.292 881.405
  77 0.765 21.074 887.411
  78 0.775 21.42 886.295
