# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2111.9999999999995
  89 0.885 21.032 566.649
  90 0.895 21.804 539.709
  91 0.905 21.98 556.674
  92 0.915 21.966 548.07
  93 0.925 21.936 531.609
  94 0.935 21.684 544.982
  95 0.945 21.478 550.86
  96 0.955 21.512 485.256
  97 0.965 21.59 458.68
  98 0.975 21.498 470.374
  99 0.985 20.188 444.51
  100 0.995 18.878 463.203
80000 100 2112
  1 0.005 19.75 464.357
  2 0.015 20.748 447.823
  3 0.025 21.324 470.05
  4 0.035 21.434 496.025
  5 0.045 21.498 480.045
  6 0.055 21.714 499.807
  7 0.065 21.67 519.132
  8 0.075 21.948 508.467
  9 0.085 21.976 537.628
  10 0.095 21.898 560.264
  11 0.105 21.442 553.75
  12 0.115 20.852 538.304
  13 0.125 19.63 551.144
  14 0.135 19.814 518.066
  15 0.145 20.92 532.862
  16 0.155 21.54 554.935
  17 0.165 21.902 595.4
  18 0.175 21.976 589.251
  19 0.185 21.846 600.632
  20 0.195 21.882 569.738
  21 0.205 21.4 561.642
  22 0.215 21.496 564.927
  23 0.225 21.498 571.162
  24 0.235 21.374 567.368
  25 0.245 20.188 624.567
  26 0.255 18.712 614.185
  27 0.265 18.902 627.59
  28 0.275 20.86 614.173
  29 0.285 21.562 650.27
  30 0.295 21.402 664.559
  31 0.305 21.442 659.109
  32 0.315 21.65 639.686
  33 0.325 21.868 622.78
  34 0.335 21.944 618.5
  35 0.345 21.968 627.29
  36 0.355 21.714 634.513
  37 0.365 20.938 663.576
  38 0.375 19.678 687.786
  39 0.385 19.56 634.371
  40 0.395 20.606 626.41
  41 0.405 21.574 633.95
  42 0.415 21.948 663.155
  43 0.425 21.992 682.388
  44 0.435 21.82 679.432
  45 0.445 21.684 704.683
  46 0.455 21.502 693.38
  47 0.465 21.498 710.299
  48 0.475 21.33 697.484
  49 0.485 20.414 730.266
  50 0.495 19.48 752.067
  51 0.505 19.232 738.808
  52 0.515 19.972 799.377
  53 0.525 21.006 741.76
  54 0.535 21.384 756.309
  55 0.545 21.448 707.44
  56 0.555 21.596 662.729
  57 0.565 21.792 701.614
  58 0.575 21.91 735.669
  59 0.585 21.858 735.524
  60 0.595 21.602 733.699
  61 0.605 21.018 722.555
  62 0.615 19.858 690.933
  63 0.625 20.148 714.264
  64 0.635 20.196 723.851
  65 0.645 21.4 684.338
  66 0.655 21.9 658.982
  67 0.665 21.95 674.563
  68 0.675 21.894 691.111
  69 0.685 21.574 671.766
  70 0.695 21.516 644.719
  71 0.705 21.494 637.76
  72 0.715 21.332 640.295
  73 0.725 20.932 611.043
  74 0.735 19.33 603.232
  75 0.745 18.554 628.213
  76 0.755 19.754 631.376
  77 0.765 21.522 614.55
  78 0.775 21.528 593.776
  79 0.785 21.294 588.437
  80 0.795 21.572 600.907
  81 0.805 21.8 569.472
  82 0.815 21.932 561.17
  83 0.825 21.996 567.524
  84 0.835 21.938 583.073
  85 0.845 21.334 584.684
  86 0.855 20.288 563.392
  87 0.865 19.694 576.234
  88 0.875 19.76 587.479
  89 0.885 21.204 563.203
  90 0.895 21.786 561.245
  91 0.905 21.98 516.334
  92 0.915 21.982 499.595
  93 0.925 21.834 546.145
  94 0.935 21.612 524.197
  95 0.945 21.518 511.386
  96 0.955 21.572 536.504
  97 0.965 21.414 518.812
  98 0.975 20.774 513.097
  99 0.985 19.844 512.01
  100 0.995 19.404 498.175
85000 100 2112
  1 0.005 19.434 479.391
  2 0.015 20.372 459.801
  3 0.025 21.264 475.672
  4 0.035 21.538 468.305
  5 0.045 21.476 501.074
  6 0.055 21.51 542.961
  7 0.065 21.754 549.096
  8 0.075 21.918 510.228
  9 0.085 21.934 531.593
  10 0.095 22.016 522.352
  11 0.105 21.61 529.576
  12 0.115 20.726 539.933
  13 0.125 19.69 557.816
  14 0.135 19.574 567.583
  15 0.145 20.898 548.507
  16 0.155 21.668 570.735
  17 0.165 21.886 582.664
  18 0.175 21.96 561.119
  19 0.185 21.844 578.22
  20 0.195 21.79 571.03
  21 0.205 21.588 574.669
  22 0.215 21.428 602.651
  23 0.225 21.454 602.427
  24 0.235 21.172 579.372
  25 0.245 20.138 586.156
  26 0.255 18.64 620.492
  27 0.265 19.182 631.582
  28 0.275 20.836 625.32
  29 0.285 21.562 604.184
  30 0.295 21.496 626.951
  31 0.305 21.438 623.406
  32 0.315 21.608 620.475
  33 0.325 21.906 612.942
  34 0.335 21.942 621.118
  35 0.345 21.97 648.347
  36 0.355 21.802 674.682
  37 0.365 20.65 655.738
  38 0.375 19.848 647.52
  39 0.385 19.588 631.56
  40 0.395 20.614 671.479
  41 0.405 21.59 683.013
  42 0.415 21.922 653.565
  43 0.425 21.952 676.99
  44 0.435 21.778 685.676
  45 0.445 21.728 684.433
  46 0.455 21.548 674.543
  47 0.465 21.512 676.374
  48 0.475 21.232 683.759
  49 0.485 20.618 700.081
  50 0.495 19.574 707.43
  51 0.505 18.75 793.145
  52 0.515 20.154 753.482
  53 0.525 21.076 781.51
  54 0.535 21.36 765.601
  55 0.545 21.426 755.802
  56 0.555 21.62 732.327
  57 0.565 21.788 676.388
  58 0.575 21.92 682.838
  59 0.585 21.88 708.949
  60 0.595 21.708 708.405
  61 0.605 20.692 757.11
  62 0.615 19.742 752.165
  63 0.625 19.594 718.785
  64 0.635 20.794 687.451
  65 0.645 21.632 682.639
  66 0.655 21.886 680.743
  67 0.665 21.984 675.901
  68 0.675 21.668 699.733
  69 0.685 21.702 671.893
  70 0.695 21.47 659.482
  71 0.705 21.518 666.557
  72 0.715 21.224 655.559
  73 0.725 20.598 615.909
  74 0.735 19.224 598.984
  75 0.745 18.992 596.705
  76 0.755 20.208 590.744
  77 0.765 21.34 611.991
  78 0.775 21.51 654.794
  79 0.785 21.274 622.622
  80 0.795 21.562 600.059
  81 0.805 21.912 584.56
  82 0.815 21.87 578.318
  83 0.825 22.006 555.382
  84 0.835 21.972 548.961
  85 0.845 21.584 551.128
  86 0.855 20.514 569.34
  87 0.865 19.672 550.832
  88 0.875 19.724 557.605
  89 0.885 20.892 556.133
  90 0.895 21.658 531.91
  91 0.905 21.958 546.092
  92 0.915 21.974 527.573
  93 0.925 21.914 544.215
  94 0.935 21.728 512.746
  95 0.945 21.538 515.546
  96 0.955 21.498 528.679
  97 0.965 21.444 506.933
  98 0.975 21.25 511.961
  99 0.985 20.23 524.285
  100 0.995 19.188 488.986
90000 100 2112
  1 0.005 19.526 479.322
  2 0.015 19.97 496.555
  3 0.025 20.888 525.763
  4 0.035 21.57 543.508
  5 0.045 21.35 545.782
  6 0.055 21.568 526.14
  7 0.065 21.826 532.392
  8 0.075 21.808 557.713
