#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  48000      1.77e+00    2.67e+00      5.14e-02    6.52e-02      5.57e-02    8.42e-02      7.23e-02    7.63e-02    1.0e-03
  48500      2.94e+00    1.49e+00      1.12e-02    5.67e-03      9.26e-02    4.65e-02      1.46e-01    1.82e-01    1.0e-03
  49000      3.10e+00    2.10e+00      7.80e-02    7.34e-02      9.78e-02    6.61e-02      2.81e-02    5.25e-02    1.0e-03
  49500      2.74e+00    2.31e+00      1.31e-01    1.39e-01      8.62e-02    7.26e-02      8.12e-02    9.49e-02    1.0e-03
  50000      1.77e+00    2.81e+00      3.34e-02    4.61e-02      8.35e-02    1.40e-01      4.05e-02    2.32e-02    3.7e-04
  50500      1.77e+00    2.42e+00      1.09e-02    4.70e-03      9.01e-02    1.25e-01      2.28e-02    1.32e-02    3.7e-04
  51000      1.75e+00    2.41e+00      1.23e-02    1.28e-02      8.96e-02    1.24e-01      1.25e-02    2.32e-02    3.7e-04
  51500      1.33e+00    6.68e-01      2.38e-02    2.22e-02      6.22e-02    2.65e-02      3.14e-02    2.60e-02    3.7e-04
  52000      1.53e+00    1.71e+00      5.05e-03    5.56e-03      7.82e-02    8.84e-02      2.02e-02    4.87e-03    3.7e-04
  52500      1.83e+00    2.45e+00      3.51e-03    1.41e-04      9.41e-02    1.25e-01      2.06e-02    3.41e-02    3.7e-04
  53000      1.74e+00    8.81e-01      4.34e-02    4.26e-02      8.29e-02    3.15e-02      9.40e-03    4.64e-03    3.7e-04
  53500      1.62e+00    2.67e+00      6.36e-03    1.41e-02      8.07e-02    1.35e-01      4.22e-02    5.14e-02    3.7e-04
  54000      1.37e+00    2.07e+00      1.40e-02    1.25e-02      6.87e-02    1.06e-01      1.50e-02    2.81e-02    3.7e-04
  54500      1.84e+00    1.14e+00      2.42e-03    1.48e-03      9.50e-02    5.87e-02      1.34e-02    9.74e-03    3.7e-04
  55000      1.20e+00    2.12e+00      7.92e-03    1.53e-03      6.05e-02    1.10e-01      2.13e-02    1.51e-02    3.7e-04
  55500      1.47e+00    2.63e+00      1.46e-02    1.79e-02      7.29e-02    1.36e-01      1.71e-02    7.79e-03    3.7e-04
  56000      1.36e+00    2.54e+00      4.23e-02    3.91e-02      6.12e-02    1.28e-01      1.42e-02    2.22e-02    3.7e-04
  56500      1.67e+00    1.96e+00      1.07e-02    1.05e-02      8.36e-02    1.01e-01      2.85e-02    2.08e-02    3.7e-04
  57000      1.37e+00    8.46e-01      4.00e-03    3.66e-03      7.03e-02    4.31e-02      1.35e-02    1.33e-02    3.7e-04
  57500      1.63e+00    1.12e+00      2.72e-02    2.38e-02      8.08e-02    5.47e-02      1.24e-02    1.35e-02    3.7e-04
  58000      1.44e+00    1.59e+00      6.25e-03    8.52e-04      7.25e-02    8.20e-02      2.54e-02    1.36e-02    3.7e-04
  58500      1.76e+00    1.79e+00      1.16e-02    1.38e-02      8.54e-02    8.40e-02      5.37e-02    6.87e-02    3.7e-04
  59000      9.67e-01    1.42e+00      2.82e-02    1.19e-03      3.54e-02    6.44e-02      4.85e-02    6.42e-02    3.7e-04
  59500      1.27e+00    1.73e+00      2.77e-02    2.46e-02      5.44e-02    8.62e-02      3.95e-02    3.05e-02    3.7e-04
  60000      1.80e+00    2.11e+00      1.47e-02    1.33e-02      9.15e-02    1.08e-01      2.01e-02    1.92e-02    3.7e-04
  60500      2.04e+00    1.94e+00      1.44e-03    3.11e-03      1.04e-01    9.94e-02      3.02e-02    2.92e-02    3.7e-04
  61000      1.65e+00    1.56e+00      1.83e-03    2.82e-03      8.52e-02    8.02e-02      1.44e-02    1.68e-02    3.7e-04
  61500      1.29e+00    1.18e+00      4.48e-03    5.98e-03      6.47e-02    6.01e-02      2.80e-02    1.89e-02    3.7e-04
  62000      2.01e+00    8.28e-01      1.31e-02    1.39e-02      1.02e-01    3.92e-02      2.73e-02    2.50e-02    3.7e-04
  62500      1.38e+00    1.19e+00      3.70e-03    7.16e-04      7.11e-02    6.12e-02      1.30e-02    1.21e-02    3.7e-04
  63000      1.61e+00    1.58e+00      1.56e-03    1.24e-03      8.16e-02    8.11e-02      3.19e-02    2.31e-02    3.7e-04
  63500      1.25e+00    1.65e+00      3.66e-03    3.09e-03      6.36e-02    8.45e-02      1.80e-02    1.99e-02    3.7e-04
  64000      1.59e+00    1.27e+00      1.35e-03    2.37e-03      7.99e-02    6.55e-02      2.34e-02    1.39e-02    3.7e-04
